name,website,Idea_List
LLVM Compiler Infrastructure,http://llvm.org,https://twitter.com/llvmorg
LibreHealth,http://librehealth.io/,http://www.google.com/intl/en/policies/privacy/
MetaBrainz Foundation Inc.,https://metabrainz.org,https://twitter.com/metabrainz
LuaRocks,http://luarocks.org,http://www.google.com/intl/en/policies/privacy/
LEAP Encryption Access Project,https://leap.se,https://twitter.com/leapcode
languagetool.org,https://languagetool.org,http://www.google.com/intl/en/policies/privacy/
Joomla!,https://www.joomla.org,https://twitter.com/joomla
Kiwix,http://www.kiwix.org/,http://www.google.com/intl/en/policies/privacy/
KDE Community,https://www.kde.org,https://twitter.com/kdecommunity
LabLua,http://www.lua.inf.puc-rio.br,https://developers.google.com/open-source/gsoc/rules
Jitsi,https://jitsi.org,https://twitter.com/jitsinews
JSK Robotics Laboratory / The University of Tokyo,http://www.jsk.t.u-tokyo.ac.jp/,http://www.google.com/intl/en/policies/privacy/
Jenkins project,https://jenkins.io/,https://twitter.com/jenkinsci
JGraphT,http://jgrapht.org/,https://developers.google.com/open-source/gsoc/rules
JBoss Community,http://www.jboss.org/,https://developers.google.com/open-source/gsoc/rules
JdeRobot - Universidad Rey Juan Carlos,http://jderobot.org,http://www.google.com/intl/en/policies/privacy/
Internet Archive,http://www.archive.org,https://twitter.com/internetarchive
Inria Foundation,https://www.sofa-framework.org/,https://twitter.com/SofaFramework
Inkscape,https://www.inkscape.org/,http://www.google.com/intl/en/policies/privacy/
Inclusive Design Institute,http://inclusivedesign.ca,http://www.google.com/intl/en/policies/privacy/
Institute for Artificial Intelligence,http://ai.uni-bremen.de/,https://twitter.com/iai_bremen?lang=en
Internet Systems Consortium,http://www.isc.org,https://twitter.com/ISCdotORG
Intel Media And Audio For Linux,https://01.org/linuxmedia,http://www.google.com/intl/en/policies/privacy/
InterMine,http://intermine.org/,https://twitter.com/intermineorg
INCF,http://incf.org/,http://www.google.com/intl/en/policies/privacy/
Haskell.org,http://haskell.org,http://www.google.com/intl/en/policies/privacy/
Homebrew,https://brew.sh,https://twitter.com/MacHomebrew
GNU Compiler Collection (GCC),https://gcc.gnu.org/,http://www.google.com/intl/en/policies/privacy/
GNU Project,https://www.gnu.org,https://developers.google.com/open-source/gsoc/rules
gRPC,https://grpc.io,https://twitter.com/grpcio
Haiku,http://www.haiku-os.org,http://www.google.com/intl/en/policies/privacy/
GNU Octave,https://www.octave.org,http://www.google.com/intl/en/policies/privacy/
GNU Radio,https://www.gnuradio.org/,https://twitter.com/gnuradio
Godot Engine,https://godotengine.org,https://twitter.com/godotengine
GNSS-SDR,http://gnss-sdr.org/,https://developers.google.com/open-source/gsoc/rules
Git,http://git-scm.com,https://developers.google.com/open-source/gsoc/rules
Global Alliance for Genomics and Health,http://ga4gh.org,https://twitter.com/ga4gh
Earth Science Information Partners (ESIP),http://esipfed.org,https://twitter.com/ESIPfed
Drupal,https://www.drupal.org/,https://twitter.com/drupal
Digital Impact Alliance,https://digitalimpactalliance.org,https://twitter.com/DIAL_Community
GNOME,https://www.gnome.org/,https://twitter.com/gnome
Django Software Foundation,https://www.djangoproject.com,https://twitter.com/djangoproject/
Conversations.im,https://Conversations.im,https://developers.google.com/open-source/gsoc/rules
Computational Biology @ University of Nebraska-Lincoln,http://helikarlab.org,https://developers.google.com/open-source/gsoc/rules
DBpedia,http://dbpedia.org/,https://twitter.com/dbpedia
Cuneiform Digital Library Initiative,https://cdli.ucla.edu,http://www.google.com/intl/en/policies/privacy/
coala,https://coala.io/,http://twitter.com/coala_io
CloudCV,http://cloudcv.org,http://www.google.com/intl/en/policies/privacy/
Developers Italia,https://developers.italia.it,https://twitter.com/ITdigitalteam
Cloud Native Computing Foundation (CNCF),https://www.cncf.io/,https://twitter.com/CloudNativeFdn
Debian Project,https://debian.org,https://twitter.com/debian
Checker Framework,https://checkerframework.org/,https://developers.google.com/open-source/gsoc/rules
CiviCRM LLC,https://civicrm.org,https://twitter.com/civicrm
CGAL Project,https://www.cgal.org,https://developers.google.com/open-source/gsoc/rules
Classical Language Toolkit,http://cltk.org/,https://twitter.com/diyclassics
"CLiPS, University of Antwerp",https://www.uantwerpen.be/en/research-groups/clips,http://www.google.com/intl/en/policies/privacy/
Center for Research In Open Source Software (CROSS) at UC Santa Cruz,http://cross.ucsc.edu,https://twitter.com/@cross_ucsc
CHAOSS: Community Health Analytics Open Source Software,https://chaoss.community/,https://developers.google.com/open-source/gsoc/rules
Catrobat,http://catrobat.org,http://www.google.com/intl/en/policies/privacy/
CERN-HSF,http://hepsoftwarefoundation.org/activities/gsoc.html,https://developers.google.com/open-source/gsoc/rules
Canadian Centre for Computational Genomics,http://computationalgenomics.ca,http://www.google.com/intl/en/policies/privacy/
Boston University / XIA,https://github.com/AltraMayor/XIA-for-Linux/wiki,https://developers.google.com/open-source/gsoc/rules
CCExtractor Development,https://ccextractor.org/,https://developers.google.com/open-source/gsoc/rules
BeeWare Project,https://pybee.org,https://twitter.com/pybeeware
Berkman Klein Center for Internet & Society at Harvard University,https://cyber.harvard.edu,https://twitter.com/bkcharvard
Blender Foundation,https://www.blender.org,https://twitter.com/blender_org
Beam Community,http://beamcommunity.github.io,https://developers.google.com/open-source/gsoc/rules
Boost C++ Libraries,http://www.boost.org/,https://developers.google.com/open-source/gsoc/rules
BRL-CAD,https://brlcad.org,https://twitter.com/BRL_CAD
Apertus Association,http://www.apertus.org,https://twitter.com/ApertusOSCinema
ArduPilot,http://ardupilot.org,https://twitter.com/ArduPilotTeam
appleseedhq,https://appleseedhq.net/,http://www.google.com/intl/en/policies/privacy/
Apertium,http://www.apertium.org,https://developers.google.com/open-source/gsoc/rules
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,https://developers.google.com/open-source/gsoc/rules
BeagleBoard.org Foundation,https://beagleboard.org,https://twitter.com/beagleboardorg
Amahi,http://www.amahi.org,http://twitter.com/amahi
Apache Software Foundation,https://apache.org,https://twitter.com/TheASF
AerospaceResearch.net,http://www.aerospaceresearch.net,https://twitter.com/ARDNnews
aimacode,http://github.com/aimacode,https://developers.google.com/open-source/gsoc/rules
52° North Initiative for Geospatial Open Source Software GmbH,https://52north.org/,https://twitter.com/fivetwon?lang=en
name,website,Idea_List
3DTK,http://threedtk.de,http://www.google.com/intl/en/policies/privacy/
"Genes, Genomes and Variation",http://www.ensembl.org,http://www.ensembl.info/
Gentoo Foundation,https://gentoo.org/,https://planet.gentoo.org/
freifunk,https://freifunk.net,https://blog.freifunk.net
GFOSS - Open Technologies Alliance,http://gfoss.eu,http://ellak.gr
FreeBSD,https://www.FreeBSD.org/,https://planet.FreeBSD.org/
GENIVI Alliance,https://www.genivi.org/,https://twitter.com/GENIVIAlliance
Git,http://git-scm.com,http://www.google.com/intl/en/policies/privacy/
FreeType,http://freetype.org,http://www.google.com/intl/en/policies/privacy/
Free UK Genealogy,http://www.freeukgenealogy.org.uk,https://www.freeukgenealogy.org.uk/news/
FOSSology,https://fossology.org/,http://www.google.com/intl/en/policies/privacy/
FOSSASIA,https://fossasia.org,https://blog.fossasia.org
FFmpeg,https://www.ffmpeg.org/,https://twitter.com/ffmpeg
Fedora Project,https://getfedora.org/,https://communityblog.fedoraproject.org
Free and Open Source Silicon Foundation,https://fossi-foundation.org,https://fossi-foundation.org/news/
XWiki,http://www.xwiki.org/,http://www.xwiki.org/xwiki/bin/view/Blog/
Eta,https://eta-lang.org/,https://blog.eta-lang.org/
XBMC Foundation,http://kodi.tv,https://kodi.tv/blog
xpra.org,https://xpra.org/,http://www.google.com/intl/en/policies/privacy/
Xi Editor Project,https://github.com/google/xi-editor,http://www.google.com/intl/en/policies/privacy/
Xapian Search Engine Library,https://xapian.org/,https://twitter.com/xapian
Zulip,https://zulip.com,https://blog.zulip.org
X.org Foundation,http://www.x.org,https://planet.freedesktop.org/
WorldBrain.io - Verifying the Internet,http://worldbrain.io,https://twitter.com/realworldbrain
webpack,https://webpack.js.org/,http://medium.com/webpack
vitrivr,https://vitrivr.org/,https://twitter.com/vitrivr_org
Wikimedia Foundation,http://wikimediafoundation.org/,https://blog.wikimedia.org/
ViSP,https://visp.inria.fr/,http://www.google.com/intl/en/policies/privacy/
UCSC Xena,http://xena.ucsc.edu,https://twitter.com/ucscxena
The syslog-ng project.,https://syslog-ng.org/,https://syslog-ng.org/blogs/
The Vega Visualization Tools by the UW Interactive Data Lab,https://vega.github.io/,http://medium.com/@uwdata
TimVideos.us,https://code.timvideos.us/,https://hdmi2usb.tv/news/
The ns-3 Network Simulator Project,https://www.nsnam.org,http://www.google.com/intl/en/policies/privacy/
VideoLAN,https://www.videolan.org,http://planet.videolan.org
The NetBSD Foundation,https://www.NetBSD.org/,https://blog.NetBSD.org/
TLA+,https://lamport.azurewebsites.net/tla/tla.html,https://twitter.com/tlaplus
The Wine Project,https://www.winehq.org/,https://www.winehq.org/wwn/
The Qt Project,http://wiki.qt.io/,http://blog.qt.io/
The Processing Foundation,http://processingfoundation.org,https://medium.com/@processingorg
The MacPorts Project,https://www.macports.org/,https://www.macports.org/news/
The Mifos Initiative,http://mifos.org,http://mifos.org/blog/
The Java Pathfinder Team,https://github.com/javapathfinder/jpf-core/wiki,http://www.google.com/intl/en/policies/privacy/
The Libreswan Project,https://libreswan.org,https://twitter.com/libreswan
The Eclipse Foundation,http://www.eclipse.org,http://planet.eclipse.org/planet/
