name,website,Idea_List
Boost C++ Libraries,http://www.boost.org/,https://github.com/boostorg/boost/wiki/Boost-Google-Summer-of-Code-2018
Blender Foundation,https://www.blender.org,https://wiki.blender.org/index.php/Dev:Ref/GoogleSummerOfCode/2018/Ideas
ArduPilot,http://ardupilot.org,http://ardupilot.org/dev/docs/gsoc-ideas-list.html
appleseedhq,https://appleseedhq.net/,https://github.com/appleseedhq/appleseed/wiki/List-of-Project-Ideas-for-GSoC-2018
Beam Community,http://beamcommunity.github.io,https://github.com/beamcommunity/beamcommunity.github.com/wiki
BeagleBoard.org Foundation,https://beagleboard.org,https://bbb.io/gsocideas
Apertium,http://www.apertium.org,http://wiki.apertium.org/wiki/Ideas_for_Google_Summer_of_Code
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,http://aossie.org/#ideas
Apertus Association,http://www.apertus.org,https://lab.apertus.org/project/view/20/
aimacode,http://github.com/aimacode,https://github.com/aimacode/aima-gsoc
AerospaceResearch.net,http://www.aerospaceresearch.net,https://aerospaceresearch.net/?page_id=612
Apache Software Foundation,https://apache.org,http://s.apache.org/gsoc2018ideas
52° North Initiative for Geospatial Open Source Software GmbH,https://52north.org/,https://wiki.52north.org/Projects/GSoC2018ProjectIdeas
Amahi,http://www.amahi.org,https://wiki.amahi.org/index.php/Google_Summer_of_Code_Ideas
